ElementID,Volume,Area,Length,Height,Thickness/Width,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
1656963,2.34,9.36,1.3,7.2,0.25,-1.41,-0.23,6.0,0.25,7.2,1.3,989.68,304.93,83.2,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1661342,20.39,81.57,6.1,13.37,0.25,-0.61,0.89,8.0,0.25,13.37,6.1,1044.09,278.98,90.08,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1661504,24.82,99.7,6.19,16.11,0.25,-0.35,0.89,9.0,0.25,16.11,6.19,1102.0,284.67,88.68,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1664322,3.6,12.0,3.3,3.63,0.3,-0.18,0.4,6.0,3.3,3.63,0.3,983.96,304.13,91.72,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1695847,9.55,31.94,5.06,6.29,0.3,-0.86,-0.65,6.0,0.3,6.29,5.08,1030.07,306.34,86.3,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1697990,15.47,51.57,14.13,3.71,0.3,-0.86,-0.17,8.0,14.28,3.71,0.3,1023.18,292.86,84.96,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1701084,8.63,28.76,9.22,3.35,0.3,-0.48,-0.18,8.0,9.22,3.35,0.3,983.41,304.13,88.34,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1705479,3.83,12.77,4.5,3.36,0.3,-0.35,0.01,8.0,0.3,3.36,4.5,1049.53,297.4,82.18,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1711129,3.17,10.55,3.24,3.51,0.3,-0.86,-0.37,8.0,0.3,3.51,3.24,1016.09,291.21,84.91,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1744440,5.91,19.71,5.86,3.36,0.3,-0.35,0.01,6.0,0.3,3.36,5.99,1063.5,278.69,82.34,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
